name,rating,date,text,text_clean,text_final,sentimen
Suhita Pinayang,1,setahun lalu,"Penjaga toilet tdk menegur ibu2 yg bawa anak laki2 bilas di bilik wanita. Pdhl anaknya sdh seusia sd kelas 3-4. Ibu nya sdh saya tegur malah alesan msh kecil. Pendidikan seksualitasnya ga jalan. Saya protes ke penjaga toilet malah diem aja ga ditanggepin. Hati2 buat bilasnya lgsg ke kamar mandi aja, jgn mau ke bilik bilas. Saya benar2 merasa dirugikan. Trus jg disuruh bayar 2, karna sama bayi yg blm 1 thn. Bad attitude bgt penjaga toiletnya",penjaga toilet tdk menegur ibu bawa anak laki bilas bilik wanita pdhl anaknya seusia sd kelas ibu tegur malah alesan msh kecil pendidikan seksualitasnya tidak jalan protes penjaga toilet malah diem tidak ditanggepin hati buat bilasnya lgsg kamar mandi jgn mau bilik bilas benar merasa dirugikan trus jg disuruh bayar karna sama bayi belum thn bad attitude banget penjaga toiletnya,jaga toilet tdk tegur ibu bawa anak laki bilas bilik wanita pdhl anak usia sd kelas ibu tegur malah alesan msh kecil didik seksualitas tidak jalan protes jaga toilet malah diem tidak ditanggepin hati buat bilas lgsg kamar mandi jgn mau bilik bilas benar rasa rugi trus jg suruh bayar karna sama bayi belum thn bad attitude banget jaga toilet,negatif
Tito Permana,1,setahun lalu,"Saya warga asli Lampung, kmrin kesana brsama keluarga, kbtulan sudah brpa tahun sdh ga prnah ksna. Htm 35k per orang, plus tiket mobil 10k.

Dari trakhir ksna sampai skrang trnyata ga ad perubahan. Pantai nya sbnernya lumayan bagus dan bisa untuk berenang juga, tapi kalau FASILITAS nya buluukkk banget. Tempat sholat juga ga layak, ga bisa jd dibilang Mushola krn jauh dr kata LAYAK. Bau comberan pulaaa. Gmna orang mau khusyu solat.

Parkiran juga bayar lagi, pdhal sudah bayar tiket parkir 10k tapi masih ditagih parkir ketika pulang.

Pondokan juga kemahalaann, 150k. Kalau dibandingkan di pantai Kalianda cuman 75-100k rate nya.

Tlong manajemen diperhatikan. Kalau mau lebih baik lagi.",warga asli lampung kmrin kesana brsama keluarga kbtulan brpa tahun tidak prnah ksna htm k per orang plus tiket mobil k trakhir ksna skrang trnyata tidak ad perubahan pantai sbnernya lumayan bagus berenang kalau fasilitas buluukkk banget tempat sholat tidak layak tidak jadi dibilang mushola jauh kata layak bau comberan pulaaa gmna orang mau khusyu solat parkiran bayar pdhal bayar tiket parkir k ditagih parkir pulang pondokan kemahalaann k kalau dibandingkan pantai kalianda cuman k rate tlong manajemen diperhatikan kalau mau lebih baik,warga asli lampung kmrin kesana brsama keluarga kbtulan brpa tahun tidak prnah ksna htm k per orang plus tiket mobil k trakhir ksna skrang trnyata tidak ad ubah pantai sbnernya lumayan bagus renang kalau fasilitas buluukkk banget tempat sholat tidak layak tidak jadi bilang mushola jauh kata layak bau comberan pulaaa gmna orang mau khusyu solat parkir bayar pdhal bayar tiket parkir k tagih parkir pulang pondok kemahalaann k kalau banding pantai kalianda cuman k rate tlong manajemen perhati kalau mau lebih baik,negatif
gifta alfina,4,setahun lalu,Pantai nya bagus....cm masih minus dengan fasilitasnya terutama mushola karena menurut saya itu hal yang pling penting. .. semoga pantai mutun bisa kedepannya lebih baik lagi 🤗 …,pantai baguscm minus fasilitasnya terutama mushola pling penting semoga pantai mutun kedepannya lebih baik,pantai baguscm minus fasilitas utama mushola pling penting moga pantai mutun depan lebih baik,positif
Bunga Febriana,1,setahun lalu,"this is the worst experience i had, wisata pantai mahal overrated. jangan harap ada pasir pantai disini, hampir semuanya DITANGGUL dan cuma nyisain SEDIKIT pasir pantai. Bahkan hampir sepanjang bibir pantai semuanya BATU KARANG. Pasir di sekitar tanggul BERLUMUT dan padat, I came here when it was on rainy season, jadi ga sempet buat foto tanggul dan kondisi pantainya. Hujan? mau sewa gazebo/saung dipinggir situ buat neduh? THAT'S SUPER EXPENSIVE for not so huge/wide gazebo. 150k bro, u better get in into ur car. Mau nyebrang ke pulau sebelah? bayar tuh kapal 200k-250k. Emang mau untuk pulau yang pantainya ga begitu luas? yakin? untuk sekedar ke toilet juga bayar 3000. Banyak kapal kapal juga di sepanjang pantai yang menghalangi buat foto pemandangan pantainya. I could bring up this issue for times, i would be glad if the government want to check up this beach.",this is the worst experience i had wisata pantai mahal overrated jangan harap pasir pantai disini hampir semuanya ditanggul cuma nyisain sedikit pasir pantai bahkan hampir sepanjang bibir pantai semuanya batu karang pasir tanggul berlumut padat i came here when it was on rainy season jadi tidak sempet buat foto tanggul kondisi pantainya hujan mau sewa gazebosaung dipinggir situ buat neduh thats super expensive for not so hugewide gazebo k bro u better get in into ur car mau nyebrang pulau sebelah bayar kapal kk emang mau pulau pantainya tidak luas yakin sekedar toilet bayar banyak kapal kapal sepanjang pantai menghalangi buat foto pemandangan pantainya i could bring up this issue for times i would be glad if the government want to check up this beach,this is the worst experience i had wisata pantai mahal overrated jangan harap pasir pantai sini hampir semua tanggul cuma nyisain sedikit pasir pantai bahkan hampir panjang bibir pantai semua batu karang pasir tanggul lumut padat i came here when it was on rainy season jadi tidak sempet buat foto tanggul kondisi pantai hujan mau sewa gazebosaung pinggir situ buat neduh thats super expensive for not so hugewide gazebo k bro u better get in into ur car mau nyebrang pulau belah bayar kapal kk emang mau pulau pantai tidak luas yakin dar toilet bayar banyak kapal kapal panjang pantai halang buat foto pandang pantai i could bring up this issue for times i would be glad if the government want to check up this beach,negatif
M. Wira Aditya,4,setahun lalu,"Pantai nya bagus dengan Garis pantai yang panjang juga tambahan Pulau Tangkil dengan disajikan Perahu untuk menyebrang, banyak lokasi Swafoto terutama di Pulau nya, saran aja jalannya mohon dibenerin yang banyak lubang dan terjal, biar mempermudah akses bagi para wisatawan! saran!",pantai bagus garis pantai panjang tambahan pulau tangkil disajikan perahu menyebrang banyak lokasi swafoto terutama pulau saran jalannya mohon dibenerin banyak lubang terjal biar mempermudah akses wisatawan saran,pantai bagus garis pantai panjang tambah pulau tangkil saji perahu menyebrang banyak lokasi swafoto utama pulau saran jalan mohon dibenerin banyak lubang terjal biar mudah akses wisatawan saran,positif
Nurul Indah Syah,3,setahun lalu,"Mahal, pantainya kotor, tp klau nyebrang better lah",mahal pantainya kotor tp klau nyebrang better,mahal pantai kotor tp klau nyebrang better,negatif
Misnan Sis,3,setahun lalu,"Parkir mobil nya mahal 50,000/mobil",parkir mobil mahal mobil,parkir mobil mahal mobil,negatif
Pipit Susanti,5,setahun lalu,Kampus terbaik😍 …,kampus terbaik,kampus baik,positif
Dilah Tuhita,1,setahun lalu,"Jangan ke sini kalo gak mau rugi, pasti nyesal!! Pantai kotor gak terawat, biaya parkir sudah bayar tpi pas mau parkir di minta parkir lagi jdi double bayar parkir",jangan sini kalau tidak mau rugi nyesal pantai kotor tidak terawat biaya parkir bayar tpi pas mau parkir minta parkir jdi double bayar parkir,jangan sini kalau tidak mau rugi nyesal pantai kotor tidak awat biaya parkir bayar tpi pas mau parkir minta parkir jdi double bayar parkir,negatif
M Zain Fahroni,2,setahun lalu,"Biaya masuk 20k/ orang weekdays

Akses/ Jalan remuk, sampah dimana2, fasilitas terbengkalai, gasebo berbayar ya gaes, kumuh.",biaya masuk k orang weekdays akses jalan remuk sampah fasilitas terbengkalai gasebo berbayar gaes kumuh,biaya masuk k orang weekdays akses jalan remuk sampah fasilitas bengkalai gasebo bayar gaes kumuh,netral
Jennyfer Herlim,5,setahun lalu,"Pantainya sepi banget, pas aku datang udah ada beberapa orang yang kumpul. Tapi gak terlalu rame, banyak perahu nelayan. Ada tempat bilas, cukup bayar Rp. 3.000 per orang. Di dalam juga ada toilet. Area bilasnya lumayan nyaman.",pantainya sepi banget pas aku datang udah beberapa orang kumpul tidak terlalu rame banyak perahu nelayan tempat bilas cukup bayar rp per orang toilet area bilasnya lumayan nyaman,pantai sepi banget pas aku datang udah beberapa orang kumpul tidak terlalu rame banyak perahu nelayan tempat bilas cukup bayar rp per orang toilet area bilas lumayan nyaman,netral
Sapto Yuwono,5,setahun lalu,Lumayan,lumayan,lumayan,netral
Degi Putra Pamungkas,3,setahun lalu,"Pantai bagus.
Cuman sayang tiket masuk terlalu mahal dan tidak ada tiket ketika di tanya..",pantai bagus cuman sayang tiket masuk terlalu mahal tidak tiket tanya,pantai bagus cuman sayang tiket masuk terlalu mahal tidak tiket tanya,negatif
zafira nadida,5,setahun lalu,Kalau ga ada sampah bakal lbh bagus. Jadi untuk para pelancong tolong jangan buang sampah sembarangan.,kalau tidak sampah bakal lbh bagus jadi pelancong jangan buang sampah sembarangan,kalau tidak sampah bakal lbh bagus jadi lancong jangan buang sampah sembarang,netral
melly okta,2,setahun lalu,Pantainya penuh dengan orang jualan. Duduk dikit di tawar2i ini itu. Tidak nyaman untuk bersantai. Hanya cocok buat mandi2 keluarga besar atau satu kecamatan cocok kesini. Merasa gak aman di pantai mutun ini karena banyak banget yg liatin kalau gak beli atau nyewa ban. Kenapa ya di buat begitu disini? Ini yg ngelola swasta ya?,pantainya penuh orang jualan duduk dikit tawari tidak nyaman bersantai cocok buat mandi keluarga besar satu kecamatan cocok kesini merasa tidak aman pantai mutun banyak banget liatin kalau tidak beli nyewa ban buat disini ngelola swasta,pantai penuh orang jual duduk dikit tawar tidak nyaman santa cocok buat mandi keluarga besar satu camat cocok kesini rasa tidak aman pantai mutun banyak banget liatin kalau tidak beli nyewa ban buat sini ngelola swasta,negatif
pebringatdi susilo,5,setahun lalu,"Pantainua bisa untuk mandi, kalo tuk diving kurang pas. Kalo snorkling bisallah",pantainua mandi kalau tuk diving kurang pas kalau snorkling bisallah,pantainua mandi kalau tuk diving kurang pas kalau snorkling bisallah,negatif
Javgan Duta,5,setahun lalu,Tempat nya lumayan bersih,tempat lumayan bersih,tempat lumayan bersih,positif
Carter Mobil Lampung,4,setahun lalu,Lumayan buat isi liburan dg keluarga,lumayan buat isi liburan dg keluarga,lumayan buat isi libur dg keluarga,netral
Ivan Danie,5,setahun lalu,Keren,keren,keren,positif
xnxx com,5,setahun lalu,Pantai legend,pantai legend,pantai legend,netral
Maria Nainggolan,1,setahun lalu,Yaudah gitu aja,yaudah gitu,yaudah gitu,netral
Reza Viandy,1,setahun lalu,"saya ga ada masalah sama pantainya sih, bagus kok, pantai dgn viewnya laut dan pegunungan. Cuman Htm masuknya itu lho menurut saya mahal, 35 ribu / orang dan di awak ada tagihan parkir mobil 10 ribu. tapi pas sudah masuk dan kita parkir, ada tukang parkir lagi yg narif 5 ribu. bayar 35 ribu dgn layanan fasilitas yg biasa aja sih, bahkan ga ada fasilitas yg menonjol sebagai bentuk pengelolaan.",tidak masalah sama pantainya bagus pantai viewnya laut pegunungan cuman htm masuknya lho mahal ribu orang awak tagihan parkir mobil ribu pas masuk parkir tukang parkir narif ribu bayar ribu layanan fasilitas biasa bahkan tidak fasilitas menonjol bentuk pengelolaan,tidak masalah sama pantai bagus pantai viewnya laut gunung cuman htm masuk lho mahal ribu orang awak tagih parkir mobil ribu pas masuk parkir tukang parkir narif ribu bayar ribu layan fasilitas biasa bahkan tidak fasilitas tonjol bentuk kelola,negatif
